n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
33,59,6,0,-446,1,2,4,562a00dac8ffc20012513fbe,-408,0,-408,59,-24072,-24072
34,44,6,0,-447,1,2,4,562a00dac8ffc20012513fbe,-447,0,-447,44,-19668,-19668
35,35,6,0,-442,1,2,4,562a00dac8ffc20012513fbe,442,0,442,35,15470,15470
36,80,6,0,-450,1,2,4,562a00dac8ffc20012513fbe,-457,0,-457,80,-36560,-36560
37,86,6,1,479,1,2,4,562a00dac8ffc20012513fbe,492,0,492,86,42312,42312
38,25,6,1,491,1,2,4,562a00dac8ffc20012513fbe,491,0,491,25,12275,12275
40,4,5,0,-474,1,2,4,562a00dac8ffc20012513fbe,-474,0,-474,4,-1896,-1896
41,33,6,1,463,1,2,4,562a00dac8ffc20012513fbe,463,0,463,33,15279,15279
42,6,5,0,-434,1,2,4,562a00dac8ffc20012513fbe,-434,0,-434,6,-2604,-2604
43,56,6,1,404,1,2,4,562a00dac8ffc20012513fbe,450,0,450,56,25200,25200
44,73,6,0,-433,1,2,4,562a00dac8ffc20012513fbe,448,0,448,73,32704,32704
46,7,5,0,-429,1,2,4,562a00dac8ffc20012513fbe,-429,0,-429,7,-3003,-3003
47,94,6,1,476,1,2,4,562a00dac8ffc20012513fbe,-480,0,-480,94,-45120,-45120
48,20,6,1,439,1,2,4,562a00dac8ffc20012513fbe,439,0,439,20,8780,8780
1,21,5,0,-445,0,2,4,563e35190980220011572d9a,431,0,0,0,9051,0
2,62,3,0,-495,0,2,4,563e35190980220011572d9a,-495,0,0,0,-30690,0
3,36,1,0,-446,0,2,4,563e35190980220011572d9a,-446,0,0,0,-16056,0
4,92,2,0,-464,0,2,4,563e35190980220011572d9a,-493,0,0,0,-45356,0
5,99,3,1,488,0,2,4,563e35190980220011572d9a,-440,0,0,0,-43560,0
7,42,4,1,408,0,2,4,563e35190980220011572d9a,436,0,0,0,18312,0
8,23,4,1,417,0,2,4,563e35190980220011572d9a,-416,0,0,0,-9568,0
9,30,4,0,-500,0,2,4,563e35190980220011572d9a,-500,0,0,0,-15000,0
11,85,4,1,439,0,2,4,563e35190980220011572d9a,-468,0,0,0,-39780,0
12,92,3,1,447,0,2,4,563e35190980220011572d9a,456,0,0,0,41952,0
13,7,4,1,417,0,2,4,563e35190980220011572d9a,417,0,0,0,2919,0
14,36,4,0,-471,0,2,4,563e35190980220011572d9a,-471,0,0,0,-16956,0
15,68,3,0,-494,0,2,4,563e35190980220011572d9a,-431,0,0,0,-29308,0
17,94,4,1,494,0,2,4,563e35190980220011572d9a,-495,0,0,0,-46530,0
18,65,1,1,494,0,2,4,563e35190980220011572d9a,-475,0,0,0,-30875,0
19,92,3,1,443,0,2,4,563e35190980220011572d9a,-494,0,0,0,-45448,0
20,22,2,0,-475,0,2,4,563e35190980220011572d9a,-475,0,0,0,-10450,0
21,83,4,1,457,0,2,4,563e35190980220011572d9a,499,0,0,0,41417,0
22,54,3,0,-423,0,2,4,563e35190980220011572d9a,-408,0,0,0,-22032,0
24,5,5,0,-413,0,2,4,563e35190980220011572d9a,-413,0,0,0,-2065,0
25,12,5,1,403,0,2,4,563e35190980220011572d9a,403,0,0,0,4836,0
27,31,1,0,-443,0,2,4,563e35190980220011572d9a,-424,0,0,0,-13144,0
28,22,4,1,498,0,2,4,563e35190980220011572d9a,484,0,0,0,10648,0
29,18,4,0,-471,0,2,4,563e35190980220011572d9a,-471,0,0,0,-8478,0
30,39,4,1,461,0,2,4,563e35190980220011572d9a,461,0,0,0,17979,0
32,12,4,1,459,0,2,4,563e35190980220011572d9a,459,0,0,0,5508,0
33,52,4,1,492,0,2,4,563e35190980220011572d9a,492,0,0,0,25584,0
34,82,4,1,454,0,2,4,563e35190980220011572d9a,-494,0,0,0,-40508,0
35,55,4,0,-426,0,2,4,563e35190980220011572d9a,-426,0,0,0,-23430,0
36,4,5,1,419,0,2,4,563e35190980220011572d9a,419,0,0,0,1676,0
