treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_3_C,mean_total_contribution_rate,9,9,0.1623789173789173,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,3-C,0.1623789173789173,gpt-5-mini
VALIDATION_3_T,mean_total_contribution_rate,10,10,0.2077884615384615,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,3-T,0.2077884615384615,gpt-5-mini
VALIDATION_4_C,mean_total_contribution_rate,12,12,0.0786210317460317,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,4-C,0.0786210317460317,gpt-5-mini
VALIDATION_4_T,mean_total_contribution_rate,9,9,0.0793650793650793,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,4-T,0.0793650793650793,gpt-5-mini
VALIDATION_5_C,mean_total_contribution_rate,9,9,0.1666666666666666,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,5-C,0.1666666666666666,gpt-5-mini
VALIDATION_5_T,mean_total_contribution_rate,12,12,0.125,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,5-T,0.125,gpt-5-mini
VALIDATION_6_C,mean_total_contribution_rate,12,12,0.465463226010101,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,6-C,0.465463226010101,gpt-5-mini
VALIDATION_6_T,mean_total_contribution_rate,11,11,0.2934581280461962,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,6-T,0.2934581280461962,gpt-5-mini
VALIDATION_7_C,mean_total_contribution_rate,11,11,0.6554538809144074,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,7-C,0.6554538809144074,gpt-5-mini
VALIDATION_7_T,mean_total_contribution_rate,12,12,0.177626096491228,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,7-T,0.177626096491228,gpt-5-mini
VALIDATION_8_C,mean_total_contribution_rate,12,12,0.1881944444444444,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,8-C,0.1881944444444444,gpt-5-mini
VALIDATION_8_T,mean_total_contribution_rate,11,11,0.1521212121212121,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,8-T,0.1521212121212121,gpt-5-mini
VALIDATION_9_C,mean_total_contribution_rate,11,11,0.2586429311429311,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,9-C,0.2586429311429311,gpt-5-mini
VALIDATION_9_T,mean_total_contribution_rate,11,11,0.1865513400740673,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,9-T,0.1865513400740673,gpt-5-mini
VALIDATION_0_C,mean_round_normalized_efficiency,10,10,0.1893149004884813,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled,0-C,0.1893149004884813,gpt-5-mini
